COLLEGES IN CONGRESSIONAL DISTRICT CA-13,,,,,,,,,,,,
Institution,Type,Address,City,District,Enrollment,Quad/Gathering Area,Campus Size,Voter Drive Suitability,Accessibility,Phone,Founded,Notes
University of California Merced,4-Year Public University,"5200 North Lake Road, Merced, CA 95343",Merced,CA-13,"8,700+ students (8,000+ undergraduates)","Multiple campus gathering areas, central quad spaces","1,026 acres (815-acre main campus)",Excellent,"UC Transit, regional bus connections",(209) 228-4400,2005,"Newest UC campus, sustainable design, adjacent to Lake Yosemite"
Merced College - Main Campus,Community College,"3600 M Street, Merced, CA 95348",Merced,CA-13,"10,600+ students","Central campus gathering areas, student common spaces",269 acres,Excellent,Local transit connections,(209) 384-6000,1963,Main campus with comprehensive programs
Merced College - Los Banos Campus,Community College,Los Banos area,Los Banos,CA-13,"Part of 10,600+ total enrollment",Campus gathering areas,120 acres,Good,Los Banos area access,(209) 384-6000,2007,Educational center serving western part of district
Modesto Junior College - East Campus (partial),Community College,"435 College Avenue, Modesto, CA 95350",Modesto,CA-13 (southern part),"Part of 23,600+ total","East Campus Quad, central gathering areas",58.3 acres,Excellent,"Municipal bus lines, inter-campus shuttle",(209) 575-6498,1921,"Original campus, serves southern Modesto area in district"
Modesto Junior College - West Campus (partial),Community College,"435 College Avenue, Modesto, CA 95350",Modesto,CA-13 (southern part),"Part of 23,600+ total","Campus gathering areas, agricultural facilities",167.1 acres,Good,Municipal transit connections,(209) 575-6498,Expansion,Larger campus with extensive agricultural programs
,,,,,,,,,,,,
COLLEGES NEAR CONGRESSIONAL DISTRICT CA-13,,,,,,,,,,,,
Institution,Type,Address,City,District,Enrollment,Quad/Gathering Area,Campus Size,Voter Drive Suitability,Accessibility,Phone,Founded,Notes
California State University Stanislaus - Main Campus,4-Year Public University,"1 University Circle, Turlock, CA 95382",Turlock,CA-10 (parts of Turlock in CA-13),"9,000+ students","Multiple campus quads, University Union, central areas",280 acres,Excellent,Turlock Transit (free for students),(209) 667-3122,1957,Main campus serves broader region including parts of CA-13
