COLLEGES IN CONGRESSIONAL DISTRICT CA-21,,,,,,,,,,,,
Institution,Type,Address,City,District,Enrollment,Quad/Gathering Area,Campus Size,Voter Drive Suitability,Accessibility,Phone,Founded,Notes
California State University Fresno (Fresno State),4-Year Public University,"5241 N Maple Avenue, Fresno, CA 93740",Fresno,CA-21,"24,300+ students","Multiple campus quads, central gathering areas",388 acres,Excellent,"Local transit, campus transportation",(559) 278-4240,1911,"Major CSU campus, home of the Bulldogs, extensive quad areas"
Fresno City College,Community College,"1101 East University Avenue, Fresno, CA 93741",Fresno,CA-21,"22,300+ students","Central campus gathering areas, student common spaces",Urban campus,Excellent,"Near Tower District, local transit",(559) 442-4600,1910,"First community college in California, extensive programs"
College of the Sequoias - Visalia Campus,Community College,"915 South Mooney Boulevard, Visalia, CA 93277",Visalia,CA-21,"12,000+ students",Central campus gathering areas,62 acres,Excellent,Public transportation serves campus,(559) 730-3700,1925,Main campus serving Tulare and Kings counties
Reedley College,Community College,"995 N Reed Avenue, Reedley, CA 93654",Reedley,CA-21,"14,000+ students",Campus quad and central gathering areas,Rural campus,Good,Rural location with campus facilities,(559) 638-3641,1926,Part of State Center Community College District
Clovis Community College,Community College,"10309 N Willow Avenue, Fresno, CA 93730",Fresno/Clovis,CA-21,"12,000+ students","Central campus areas, student gathering spaces",Modern campus,Good,Fresno area transportation,(559) 325-5200,2003,Newer campus serving northeast Fresno area
Madera Community College,Community College,"30900 Avenue 12, Madera, CA 93638",Madera,CA-13 border,"Part of State Center District, serves overlapping areas",,,,,,,
,,,,,,,,,,,,
COLLEGES NEAR CONGRESSIONAL DISTRICT CA-21,,,,,,,,,,,,
Institution,Type,Address,City,District,Enrollment,Quad/Gathering Area,Campus Size,Voter Drive Suitability,Accessibility,Phone,Founded,Notes
College of the Sequoias - Tulare Campus,Community College Extension,"4999 E Bardsley Ave, Tulare, CA 93274",Tulare,CA-22,"Part of 12,000+ total",Campus gathering areas,Extension campus,Good,Tulare area access,(559) 688-3000,Extension,Serves northern Tulare County area
Porterville College,Community College,"100 E College Avenue, Porterville, CA 93257",Porterville,CA-22,"5,000+ students",Central campus quad and gathering areas,Small campus,Good,Porterville area transit,(559) 791-2200,1927,Serves southeastern Tulare County
