COLLEGES IN CONGRESSIONAL DISTRICT CA-22,,,,,,,,,,,,
Institution,Type,Address,City,District,Enrollment,Quad/Gathering Area,Campus Size,Voter Drive Suitability,Accessibility,Phone,Founded,Notes
California State University Bakersfield,4-Year Public University,"9001 Stockdale Highway, Bakersfield, CA 93311",Bakersfield,CA-22,"9,000+ students",Multiple campus quads and central gathering areas,375 acres,Excellent,"Campus transportation, local transit",(661) 654-2011,1970,"19th campus of CSU system, NCAA Division I athletics"
Bakersfield College - Main Campus,Community College,"1801 Panorama Drive, Bakersfield, CA 93305",Bakersfield,CA-22,"31,000+ students annually",Central campus quad and gathering areas,153 acres,Excellent,"Free Kern Transit for students, multiple bus routes",(661) 395-4011,1913,One of nation's oldest community colleges
Bakersfield College - Delano Campus,Community College,"1550 Woollomes Avenue, Delano, CA 93215",Delano,CA-22,"Part of 31,000+ total",Campus gathering areas,Extension campus,Good,Delano area transportation,(661) 720-2000,Extension,Serves agricultural communities north of Bakersfield
Porterville College,Community College,"100 E College Avenue, Porterville, CA 93257",Porterville,CA-22,"5,000+ students",Central campus quad and gathering areas,Traditional campus,Good,Local Porterville transit,(559) 791-2200,1927,"Part of Kern Community College District, serves Tulare County"
West Hills College Coalinga,Community College,"300 Cherry Lane, Coalinga, CA 93210",Coalinga,CA-22,"2,500+ students",Central campus gathering areas,Rural campus,Good,Rural location with campus facilities,(559) 934-2000,1932,Serves agricultural and rural communities
Taft College,Community College,"29 Emmons Park Drive, Taft, CA 93268",Taft,CA-22,Small rural community college serving oil industry area,,,,,,,
,,,,,,,,,,,,
COLLEGES NEAR CONGRESSIONAL DISTRICT CA-22,,,,,,,,,,,,
Institution,Type,Address,City,District,Enrollment,Quad/Gathering Area,Campus Size,Voter Drive Suitability,Accessibility,Phone,Founded,Notes
College of the Sequoias - Hanford Campus,Community College Extension,Hanford area,Hanford,CA-22 border,"Part of 12,000+ total",Campus gathering areas,Extension campus,Good,Hanford area access,(559) 730-3700,Extension,Serves Kings County communities
Cerro Coso Community College,Community College,"3000 College Heights Blvd, Ridgecrest, CA 93555",Ridgecrest,CA-3,"6,000+ students",Central campus areas,High desert campus,Good,Eastern Kern County access,(760) 384-6100,1973,"Serves vast desert region, part of Kern District"
