COLLEGES IN AZ-01,,,,,,,,,,,,,,
Institution,Type,Address,City,District,Enrollment,Quad/Gathering Area,Campus Size,Voter Drive Suitability,Accessibility,Phone,Founded,Notes,,
Scottsdale Community College,Community College,"9000 E. Chaparral Road, Scottsdale, AZ 85256",Scottsdale,AZ-1,10000 students,"Central campus area with student gathering spaces, located on Salt River Pima-Maricopa Indian Community land",160 acres,Good - central campus gathering areas,Chaparral and Pima Roads,on tribal land,(480) 423-6000,1970,Only public community college on tribal land,home of the Fighting Artichokes
,,,,,,,,,,,,,,
COLLEGES NEAR AZ-01,,,,,,,,,,,,,,
Institution,Type,Address,City,District,Enrollment,Quad/Gathering Area,Campus Size,Voter Drive Suitability,Accessibility,Phone,Founded,Notes,,
Arizona State University - Tempe Campus,4-Year University,"1151 S Forest Ave, Tempe, AZ 85287",Tempe,AZ-4,57144 students (largest on-campus in US),"Palm Walk main pathway, extensive campus with multiple quads and gathering areas",Large campus,Excellent - multiple large gathering areas throughout campus,"Mill Avenue district, Tempe Marketplace nearby, Valley Metro Rail",(480) 965-9011,1885,Largest on-campus enrollment in the US,extensive public art collection,
Arizona State University - Downtown Phoenix Campus,4-Year University,"411 N Central Ave, Phoenix, AZ 85004",Phoenix,AZ-3,11465 students,Urban campus with student center and gathering areas,Urban campus,Good - urban campus with central gathering areas,"Downtown Phoenix, Valley Metro Rail connection to Tempe",(602) 496-4636,2006,"Houses law school, journalism, nursing, and public policy programs",,
Arizona State University - West Campus,4-Year University,"4701 W Thunderbird Rd, Glendale, AZ 85306",Glendale,AZ-8,4000+ students,Central campus areas and student gathering spaces,277.92 acres,Good - focused campus with central areas,"Northwest Phoenix area, 12 miles northwest of Downtown Phoenix",(602) 543-5500,1984,Focuses on interdisciplinary degrees and liberal arts,,
Paradise Valley Community College,Community College,"18401 N 32nd St, Phoenix, AZ 85032",Phoenix,AZ-1,8000+ students,Campus gathering areas and student center,240 acres,Good - central campus areas,North Phoenix area near Scottsdale border,(602) 787-6500,1985,Serves north Phoenix and Scottsdale area residents,,
Mesa Community College,Community College,"1833 W Southern Ave, Mesa, AZ 85202",Mesa,AZ-5,25000+ students,Large central campus with multiple gathering areas,160 acres,Excellent - large campus with multiple gathering areas,Southern Avenue and Dobson Road in Mesa,(480) 461-7000,1965,One of the largest community colleges in the Maricopa district,,
Glendale Community College,Community College,"6000 W Olive Ave, Glendale, AZ 85302",Glendale,AZ-8,15000+ students,Central campus with student gathering areas,160 acres,Good - central campus areas,West Phoenix/Glendale area,(623) 845-3000,1965,Established alongside Mesa Community College,,
