COLLEGES AND UNIVERSITIES WITHIN AZ-04 CONGRESSIONAL DISTRICT,,,,,,,,,,,,,,
Institution Name,Address,City,State,Zip Code,Congressional District,Distance from AZ-04,Institution Type,Public/Private,Enrollment,Has Quad/Walkable Areas,Voter Drive Suitability,Contact Phone,Website,Notes
Arizona State University - Tempe Campus,660 S College Ave,Tempe,AZ,85281,AZ-04,Within District,4-Year University,Public,"74,000",Yes,High,(480) 965-9011,asu.edu,"660-acre main campus with iconic Palm Walk, Old Main, and Gammage Auditorium"
Arizona State University - Polytechnic Campus,7001 E Williams Field Rd,Mesa,AZ,85212,AZ-04,Within District,4-Year University,Public,"6,700",Yes,High,(480) 727-4531,campus.asu.edu/polytechnic,600-acre desert arboretum campus with outdoor learning labs and modern facilities
Mesa Community College,1833 W Southern Ave,Mesa,AZ,85202,AZ-04,Within District,Community College,Public,"12,000",Yes,High,(480) 461-7000,mesacc.edu,Largest Maricopa Community College with extensive campus and student facilities
Chandler-Gilbert Community College - Williams Campus,7360 E Tahoe Ave,Mesa,AZ,85212,AZ-04,Within District,Community College,Public,"8,000",Yes,High,(480) 732-7000,cgc.edu,"Comprehensive campus with aviation, nursing, and technical programs"
Chandler-Gilbert Community College - Pecos Campus,2626 E Pecos Rd,Chandler,AZ,85225,AZ-04,Within District,Community College,Public,"7,000",Yes,High,(480) 732-7000,cgc.edu,Main CGCC campus with student center and athletic facilities
Rio Salado College,2323 W 14th St,Tempe,AZ,85281,AZ-04,Within District,Community College,Public,"17,362",Yes,Medium,(480) 517-8000,riosalado.edu,Primarily online college with physical headquarters and multiple locations
,,,,,,,,,,,,,,
COLLEGES AND UNIVERSITIES NEAR AZ-04 (WITHIN 15 MILES),,,,,,,,,,,,,,
Institution Name,Address,City,State,Zip Code,Congressional District,Distance from AZ-04,Institution Type,Public/Private,Enrollment,Has Quad/Walkable Areas,Voter Drive Suitability,Contact Phone,Website,Notes
Arizona State University - Downtown Phoenix Campus,411 N Central Ave,Phoenix,AZ,85004,AZ-03,8 miles,4-Year University,Public,"12,000",Yes,High,(602) 496-4636,campus.asu.edu/downtown,Urban campus in downtown Phoenix with modern facilities and walkable areas
Phoenix College,1202 W Thomas Rd,Phoenix,AZ,85013,AZ-03,12 miles,Community College,Public,"10,000",Yes,High,(602) 285-7800,phoenixcollege.edu,Historic campus with student center and multiple walkable areas
South Mountain Community College,7050 S 24th St,Phoenix,AZ,85042,AZ-03,10 miles,Community College,Public,"6,500",Yes,High,(602) 243-8000,southmountaincc.edu,Campus with student commons and outdoor gathering areas
Scottsdale Community College,9000 E Chaparral Rd,Scottsdale,AZ,85256,AZ-01,15 miles,Community College,Public,"9,000",Yes,High,(480) 423-6000,scottsdalecc.edu,Beautiful desert campus with performing arts center and student areas
GateWay Community College,108 N 40th St,Phoenix,AZ,85034,AZ-03,8 miles,Community College,Public,"7,500",Yes,High,(602) 286-8000,gatewaycc.edu,Urban campus with student services building and outdoor areas
University of Arizona - Chandler,4635 W Chandler Blvd,Chandler,AZ,85226,AZ-05,5 miles,4-Year University,Public,"1,200",Yes,Medium,(480) 940-4848,chandler.arizona.edu,Satellite campus offering University of Arizona degrees in East Valley
