COLLEGES AND UNIVERSITIES WITHIN CA-45 CONGRESSIONAL DISTRICT,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Institution Name,Address,City,State,Zip Code,Congressional District,Distance from CA-45,Institution Type,Public/Private,Enrollment,Has Quad/Walkable Areas,Voter Drive Suitability,Contact Phone,Website,Notes
"California State University, Fullerton",800 N State College Blvd,Fullerton,CA,92831,CA-45,Within District,4-Year University,Public,"36,943",Yes,High,(657) 278-2011,fullerton.edu,"Large 236-acre campus with central quad areas, major CSU campus"
Cerritos College,11110 Alondra Blvd,Norwalk,CA,90650,CA-45,Within District,Community College,Public,"22,000",Yes,High,(562) 860-2451,cerritos.edu,Administrative quad area with walkable spaces
Fullerton College,321 E Chapman Ave,Fullerton,CA,92832,CA-45,Within District,Community College,Public,"20,000",Yes,High,(714) 992-7000,fullcoll.edu,California's longest-running community college since 1913
Cypress College,9200 Valley View St,Cypress,CA,90630,CA-45,Within District,Community College,Public,"14,000",Yes,High,(714) 484-7000,cypresscollege.edu,Campus with student gathering spaces
Coastline College - Westminster Campus,14120 All American Way,Westminster,CA,92683,CA-45,Within District,Community College,Public,"5,000",Yes,Medium,(714) 546-7600,coastline.edu,Le-Jao Campus with student lounge and gathering areas
Coastline College - Garden Grove Campus,12901 Euclid St,Garden Grove,CA,92840,CA-45,Within District,Community College,Public,"3,000",Yes,Medium,(714) 546-7600,coastline.edu,Campus with student services and gathering spaces
Coastline College - Student Services Center,11460 Warner Ave,Fountain Valley,CA,92708,CA-45,Within District,Community College,Public,"2,000",Yes,Medium,(714) 546-7600,coastline.edu,"40,000 sq ft facility with student gathering areas"
,,,,,,,,,,,,,,
COLLEGES AND UNIVERSITIES NEAR CA-45 (WITHIN 15 MILES),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Institution Name,Address,City,State,Zip Code,Congressional District,Distance from CA-45,Institution Type,Public/Private,Enrollment,Has Quad/Walkable Areas,Voter Drive Suitability,Contact Phone,Website,Notes
Golden West College,15744 Goldenwest St,Huntington Beach,CA,92647,CA-46,5 miles,Community College,Public,"14,000",Yes,High,(714) 892-7711,goldenwestcollege.edu,Beautiful 122-acre campus with central quad areas
Orange Coast College,2701 Fairview Rd,Costa Mesa,CA,92626,CA-46,8 miles,Community College,Public,"24,000",Yes,High,(714) 432-5072,orangecoastcollege.edu,164-acre campus with central park areas and student housing
Chapman University,1 University Dr,Orange,CA,92866,CA-46,10 miles,4-Year University,Private,"10,000",Yes,High,(714) 997-6815,chapman.edu,Traditional campus with central gathering areas
"University of California, Irvine","Aldrich Hall, Irvine",Irvine,CA,92697,CA-46,12 miles,4-Year University,Public,"36,000",Yes,High,(949) 824-5011,uci.edu,Large campus centered around Aldrich Park
Concordia University Irvine,1530 Concordia,Irvine,CA,92612,CA-46,14 miles,4-Year University,Private,"3,000",Yes,Medium,(949) 854-8002,cui.edu,70-acre plateau campus with walkable areas
"California State University, Long Beach",1250 Bellflower Blvd,Long Beach,CA,90840,CA-42,15 miles,4-Year University,Public,"37,000",Yes,High,(562) 985-4111,csulb.edu,Large urban campus with multiple quad areas
Mt. San Antonio College,1100 N Grand Ave,Walnut,CA,91789,CA-31,15 miles,Community College,Public,"28,000",Yes,High,(909) 594-5611,mtsac.edu,Large campus with central areas and wildlife sanctuary
Saddleback College,28000 Marguerite Pkwy,Mission Viejo,CA,92692,CA-49,15 miles,Community College,Public,"25,000",Yes,High,(949) 582-4500,saddleback.edu,Upper Campus Quad and Gateway Building area
